	Amino_acid	Side_chain_atom
0	ARG	N CA CB CG
1	ARG	CA CB CG CD
2	ARG	CB CG CD NE
3	ARG	CG CD NE CZ
4	ASN	N CA CB CG
5	ASN	CA CB CG OD1
6	ASP	N CA CB CG
7	ASP	CA CB CG OD1
8	CSY	N CA CB SG
9	GLN	N CA CB CG
10	GLN	CA CB CG CD
11	GLN	CB CG CD OE1
12	GLU	N CA CB CG
13	GLU	CA CB CG CD
14	GLU	CB CG CD OE1
15	HSD	N CA CB CG
16	HSD	CA CB CG ND1
17	ILE	N CA CB CG1
18	ILE	CA CB CG1 CD
19	LEU	N CA CB CG
20	LEU	CA CB CG CD1
21	LYS	N CA CB CG
22	LYS	CA CB CG CD
23	LYS	CB CG CD CE
24	LYS	CG CD CE NZ
25	MET	N CA CB CG
26	MET	CA CB CG SD
27	MET	CB CG SD CE
28	PHE	N CA CB CG
29	PHE	CA CB CG CD1
30	SER	N CA CB OG
31	THR	N CA CB OG1
32	TRP	N CA CB CG
33	TRP	CA CB CG CD1
34	TYR	N CA CB CG
35	TYR	CA CB CG CD1
36	VAL	N CA CB CG1
