	enthalpy	vdw	elec	entropy	PDB_name	cluster_id
0	-20.377216145204955	-64.35218005942454	-19.933273391755446	-0.537043825799221	1	1
1	-25.72318571568686	-65.17204725569286	-19.68307811932718	-0.537043825799221	10	1
2	-25.72560897636955	-64.93215959414289	-19.68770567810524	-0.537043825799221	11	1
3	-23.542763295497856	-63.453448318930135	-19.711479262607753	-0.537043825799221	12	1
4	-18.829981789544462	-58.53951817600539	-19.577655466046153	-0.537043825799221	13	1
5	-22.541872638759585	-65.1977438047116	-18.62311375646748	-0.537043825799221	14	1
6	-29.257395133949156	-67.26897153855772	-20.2898040331227	-0.537043825799221	15	1
7	-28.76740286732753	-66.44040460708317	-20.326781200708627	-0.537043825799221	16	1
8	-25.51082557288799	-64.71701047795575	-19.778432297672996	-0.537043825799221	17	1
9	-29.503285425028416	-68.86659528122007	-20.314286478450736	-0.537043825799221	18	1
10	-29.266761788069033	-67.38569691613375	-20.286711939800878	-0.537043825799221	19	1
11	-25.598656838661643	-64.78491334539967	-19.76169628522602	-0.537043825799221	2	1
12	-25.700153578479792	-65.0910184676613	-19.704507553595153	-0.537043825799221	20	1
13	-29.465437310330397	-68.85023050868014	-20.336941724767417	-0.537043825799221	21	1
14	-25.731678039586654	-65.02954480966594	-19.68811312092382	-0.537043825799221	22	1
15	-29.020181903709446	-69.501346119506	-20.621210423998985	-0.537043825799221	23	1
16	-26.405062206757673	-65.23675125863451	-19.304864988192968	-0.537043825799221	24	1
17	-22.88023408553934	-64.58684711390758	-18.209050188399836	-0.537043825799221	25	1
18	-26.445081084970617	-65.56053870935264	-19.434808836286212	-0.537043825799221	3	1
19	-26.32897604457008	-64.94561596811064	-19.346622335438756	-0.537043825799221	4	1
20	-25.739146490091414	-64.97137514080099	-19.696555809461692	-0.537043825799221	5	1
21	-25.632489969295232	-64.78884062353411	-19.704628078955444	-0.537043825799221	6	1
22	-29.176472106697307	-67.36230191579634	-20.235533317171566	-0.537043825799221	7	1
23	-20.5245222763171	-63.53877470878664	-20.14173195000572	-0.537043825799221	8	1
24	-17.75622729596154	-59.550519059820964	-19.737395504684205	-0.537043825799221	9	1
